交易日期,基金名称,基金代码,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,累计单位净值,单位净值,后复权因子,换手率
2023-11-10,华夏上证科创板100ETF,588800.SH,,,,,,,,1.0007,1.0007,,
2023-11-15,华夏上证科创板100ETF,588800.SH,,,,,,,,1.0047,1.0047,,
2023-11-16,华夏上证科创板100ETF,588800.SH,1.005,0.996,0.998,0.985,0.986,1226064500.0,1216572479.0,0.9874,0.9874,1.0,31.888263265639
2023-11-17,华夏上证科创板100ETF,588800.SH,0.986,0.98,0.992,0.98,0.99,928781180.0,918785706.0,0.9919,0.9919,1.0,22.89117279464
2023-11-20,华夏上证科创板100ETF,588800.SH,0.99,0.992,0.998,0.984,0.996,781786400.0,775718175.0,0.9969,0.9969,1.0,19.70537208841
2023-11-21,华夏上证科创板100ETF,588800.SH,0.996,0.997,1.0,0.987,0.988,848351898.0,842813077.0,0.9889,0.9889,1.0,20.591680237056
2023-11-22,华夏上证科创板100ETF,588800.SH,0.988,0.986,0.991,0.968,0.97,988792600.0,970107549.0,0.9694,0.9694,1.0,22.059559024152
2023-11-23,华夏上证科创板100ETF,588800.SH,0.97,0.971,0.985,0.966,0.983,1251806500.0,1222144000.0,0.9834,0.9834,1.0,26.052831321176
2023-11-24,华夏上证科创板100ETF,588800.SH,0.983,0.98,0.981,0.966,0.969,999407500.0,969867725.0,0.9693,0.9693,1.0,19.69323591488
2023-11-27,华夏上证科创板100ETF,588800.SH,0.969,0.969,0.978,0.966,0.977,1097125100.0,1067302619.0,0.9757,0.9757,1.0,20.613442076726
2023-11-28,华夏上证科创板100ETF,588800.SH,0.977,0.974,0.987,0.971,0.985,1040147600.0,1022249914.0,0.986,0.986,1.0,18.616026804706
2023-11-29,华夏上证科创板100ETF,588800.SH,0.985,0.985,0.993,0.983,0.986,1047386400.0,1035593287.0,0.9848,0.9848,1.0,18.058769177346
2023-11-30,华夏上证科创板100ETF,588800.SH,0.986,0.984,0.986,0.975,0.981,1142201300.0,1118821005.0,0.9824,0.9824,1.0,18.755736774322
